block_count,blocked_start,blocked_removed,diff.seconds
1,2022-03-16 00:42:34.721745,2022-03-16 02:12:35.887145,5401
2,2022-03-16 02:32:40.516872,2022-03-16 13:02:46.522550,37806
3,2022-03-16 13:12:49.077035,2022-03-16 16:42:54.832726,12605
4,2022-03-16 16:47:55.240110,2022-03-16 18:17:57.212148,5401
5,2022-03-16 18:22:57.626630,2022-03-17 14:53:09.106133,73811
6,2022-03-17 15:03:11.890518,2022-03-17 15:33:13.556944,1801
7,2022-03-17 15:38:14.526023,2022-03-17 22:38:19.054635,25204
8,2022-03-17 22:53:21.930074,2022-03-17 23:23:22.932945,1801
9,2022-03-17 23:38:26.251032,2022-03-18 20:08:37.593602,73811
10,2022-03-18 20:18:39.765950,2022-03-18 20:48:40.706881,1800
